id,task,arm,generation,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens
gpt-6-astra-cross_file-1-bare,cross_file,bare,1,15147,0,97,0,15244
gpt-6-astra-cross_file-1-bare,cross_file,bare,2,15364,14976,75,0,15439
gpt-6-astra-cross_file-1-bare,cross_file,bare,3,15658,15232,99,0,15757
gpt-6-astra-cross_file-1-bare,cross_file,bare,4,16230,15488,2234,393,18464
gpt-6-astra-cross_file-1-bare,cross_file,bare,5,20929,16000,639,58,21568
gpt-6-astra-cross_file-1-bare,cross_file,bare,6,22510,20736,1002,57,23512
gpt-6-astra-cross_file-1-bare,cross_file,bare,7,23598,22272,81,0,23679
gpt-6-astra-incident-1-bare,incident,bare,1,15255,0,101,0,15356
gpt-6-astra-incident-1-bare,incident,bare,2,15451,15104,33,0,15484
gpt-6-astra-incident-1-bare,incident,bare,3,25931,15232,59,0,25990
gpt-6-astra-incident-1-bare,incident,bare,4,26312,25728,1029,0,27341
gpt-6-astra-incident-1-bare,incident,bare,5,27428,26112,78,0,27506
gpt-6-astra-incident-1-combined,incident,combined,1,16190,5376,109,0,16299
gpt-6-astra-incident-1-combined,incident,combined,2,17095,16000,107,0,17202
gpt-6-astra-incident-1-combined,incident,combined,3,18303,16896,189,0,18492
gpt-6-astra-incident-1-combined,incident,combined,4,29009,18176,47,0,29056
gpt-6-astra-incident-1-combined,incident,combined,5,29340,28800,1063,10,30403
gpt-6-astra-incident-1-combined,incident,combined,6,30484,29184,67,0,30551
gpt-6-astra-semantic-1-combined,semantic,combined,1,16072,0,106,0,16178
gpt-6-astra-semantic-1-combined,semantic,combined,2,16976,15872,109,0,17085
gpt-6-astra-semantic-1-combined,semantic,combined,3,18189,16768,193,0,18382
gpt-6-astra-semantic-1-combined,semantic,combined,4,26464,18048,226,17,26690
gpt-6-astra-semantic-1-combined,semantic,combined,5,28012,26368,97,24,28109
gpt-6-astra-semantic-1-combined,semantic,combined,6,28764,27904,521,0,29285
gpt-6-astra-semantic-1-combined,semantic,combined,7,29358,28672,48,0,29406
gpt-6-astra-semantic-1-bare,semantic,bare,1,15157,0,105,0,15262
gpt-6-astra-semantic-1-bare,semantic,bare,2,15361,14976,35,0,15396
gpt-6-astra-semantic-1-bare,semantic,bare,3,23402,15232,217,14,23619
gpt-6-astra-semantic-1-bare,semantic,bare,4,24981,23168,278,27,25259
gpt-6-astra-semantic-1-bare,semantic,bare,5,25883,24832,585,0,26468
gpt-6-astra-semantic-1-bare,semantic,bare,6,26548,25728,46,0,26594
